month,PRCP,TAVG,TMAX,TMIN
1,0.21256720430107526,25.7343393871314,32.47248192951016,18.259391730732606
2,0.4563882925961263,28.596316875359545,35.00303705250919,21.84193525370968
3,0.8167744510361308,30.564955149313462,36.95496486763658,24.34998549976164
4,1.8066443527400875,32.0181958388148,38.352554772547585,25.922436265072008
5,4.5710255660346375,30.49046449183962,36.11074654954731,25.509831956111373
6,3.3364769019352667,29.595945529566222,34.59505332670203,25.15039599409212
7,4.258327011150937,29.047651334129824,34.054899019315016,24.667329281595762
8,5.989068681026295,28.459117661137146,33.27761635821616,24.430096201712463
9,7.691742268746579,27.975523336816448,32.56338215902871,24.09160782703886
10,4.684304196614321,27.80218708557062,32.14958263643787,23.705590567659673
11,1.047231451073405,26.562727513227518,31.536969135802476,21.387521825396828
12,0.11058220147142049,24.795245739321146,30.972247386618495,18.05829354429029
